,Key,Entry_data
324,"dfs_hour_(1, 0.33)_MARSI-C_ADANIPORTS",14
325,"dfs_hour_(1, 0.33)_MARSI-UC1_ADANIPORTS",15
326,"dfs_hour_(1, 0.33)_MARSI-UC2_ADANIPORTS",43
327,"dfs_hour_(1, 0.33)_RSI_ADANIPORTS",675
328,"dfs_hour_(15, 5)_BB_ADANIPORTS",73
329,"dfs_hour_(15, 5)_BBRSI_ADANIPORTS",68
330,"dfs_hour_(15, 5)_BBRSI-UC_ADANIPORTS",73
331,"dfs_hour_(15, 5)_MA_ADANIPORTS",54
332,"dfs_hour_(15, 5)_MARSI-C_ADANIPORTS",10
333,"dfs_hour_(15, 5)_MARSI-UC1_ADANIPORTS",13
334,"dfs_hour_(15, 5)_MARSI-UC2_ADANIPORTS",29
335,"dfs_hour_(15, 5)_RSI_ADANIPORTS",84
336,"dfs_hour_(3, 1)_BB_ADANIPORTS",304
337,"dfs_hour_(3, 1)_BBRSI_ADANIPORTS",227
338,"dfs_hour_(3, 1)_BBRSI-UC_ADANIPORTS",301
339,"dfs_hour_(3, 1)_MA_ADANIPORTS",145
340,"dfs_hour_(3, 1)_MARSI-C_ADANIPORTS",14
341,"dfs_hour_(3, 1)_MARSI-UC1_ADANIPORTS",13
342,"dfs_hour_(3, 1)_MARSI-UC2_ADANIPORTS",39
343,"dfs_hour_(3, 1)_RSI_ADANIPORTS",454
344,"dfs_hour_(30, 10)_BB_ADANIPORTS",23
345,"dfs_hour_(30, 10)_BBRSI_ADANIPORTS",24
346,"dfs_hour_(30, 10)_BBRSI-UC_ADANIPORTS",23
347,"dfs_hour_(30, 10)_MA_ADANIPORTS",15
348,"dfs_hour_(30, 10)_MARSI-C_ADANIPORTS",7
349,"dfs_hour_(30, 10)_MARSI-UC1_ADANIPORTS",10
350,"dfs_hour_(30, 10)_MARSI-UC2_ADANIPORTS",12
351,"dfs_hour_(30, 10)_RSI_ADANIPORTS",24
352,"dfs_38minute_(1, 0.33)_BB_ADANIPORTS",555
353,"dfs_38minute_(1, 0.33)_BBRSI_ADANIPORTS",386
354,"dfs_38minute_(1, 0.33)_BBRSI-UC_ADANIPORTS",534
355,"dfs_38minute_(1, 0.33)_MA_ADANIPORTS",214
356,"dfs_38minute_(1, 0.33)_MARSI-C_ADANIPORTS",14
357,"dfs_38minute_(1, 0.33)_MARSI-UC1_ADANIPORTS",35
358,"dfs_38minute_(1, 0.33)_MARSI-UC2_ADANIPORTS",68
359,"dfs_38minute_(1, 0.33)_RSI_ADANIPORTS",869
360,"dfs_38minute_(15, 5)_BB_ADANIPORTS",94
361,"dfs_38minute_(15, 5)_BBRSI_ADANIPORTS",88
362,"dfs_38minute_(15, 5)_BBRSI-UC_ADANIPORTS",94
363,"dfs_38minute_(15, 5)_MA_ADANIPORTS",66
364,"dfs_38minute_(15, 5)_MARSI-C_ADANIPORTS",12
365,"dfs_38minute_(15, 5)_MARSI-UC1_ADANIPORTS",22
366,"dfs_38minute_(15, 5)_MARSI-UC2_ADANIPORTS",32
367,"dfs_38minute_(15, 5)_RSI_ADANIPORTS",92
368,"dfs_38minute_(3, 1)_BB_ADANIPORTS",412
369,"dfs_38minute_(3, 1)_BBRSI_ADANIPORTS",310
370,"dfs_38minute_(3, 1)_BBRSI-UC_ADANIPORTS",401
371,"dfs_38minute_(3, 1)_MA_ADANIPORTS",195
372,"dfs_38minute_(3, 1)_MARSI-C_ADANIPORTS",14
373,"dfs_38minute_(3, 1)_MARSI-UC1_ADANIPORTS",30
374,"dfs_38minute_(3, 1)_MARSI-UC2_ADANIPORTS",55
375,"dfs_38minute_(3, 1)_RSI_ADANIPORTS",559
376,"dfs_38minute_(30, 10)_BB_ADANIPORTS",28
377,"dfs_38minute_(30, 10)_BBRSI_ADANIPORTS",25
378,"dfs_38minute_(30, 10)_BBRSI-UC_ADANIPORTS",28
379,"dfs_38minute_(30, 10)_MA_ADANIPORTS",20
380,"dfs_38minute_(30, 10)_MARSI-C_ADANIPORTS",9
381,"dfs_38minute_(30, 10)_MARSI-UC1_ADANIPORTS",14
382,"dfs_38minute_(30, 10)_MARSI-UC2_ADANIPORTS",14
383,"dfs_38minute_(30, 10)_RSI_ADANIPORTS",26
384,"dfs_day_(1, 0.33)_BB_AMBUJACEM",54
385,"dfs_day_(1, 0.33)_BBRSI_AMBUJACEM",32
386,"dfs_day_(1, 0.33)_BBRSI-UC_AMBUJACEM",51
387,"dfs_day_(1, 0.33)_MA_AMBUJACEM",26
388,"dfs_day_(1, 0.33)_MARSI-C_AMBUJACEM",1
389,"dfs_day_(1, 0.33)_MARSI-UC1_AMBUJACEM",0
390,"dfs_day_(1, 0.33)_MARSI-UC2_AMBUJACEM",5
391,"dfs_day_(1, 0.33)_RSI_AMBUJACEM",81
392,"dfs_day_(15, 5)_BB_AMBUJACEM",26
393,"dfs_day_(15, 5)_BBRSI_AMBUJACEM",17
394,"dfs_day_(15, 5)_BBRSI-UC_AMBUJACEM",25
395,"dfs_day_(15, 5)_MA_AMBUJACEM",17
396,"dfs_day_(15, 5)_MARSI-C_AMBUJACEM",1
397,"dfs_day_(15, 5)_MARSI-UC1_AMBUJACEM",0
398,"dfs_day_(15, 5)_MARSI-UC2_AMBUJACEM",5
399,"dfs_day_(15, 5)_RSI_AMBUJACEM",28
400,"dfs_day_(3, 1)_BB_AMBUJACEM",53
401,"dfs_day_(3, 1)_BBRSI_AMBUJACEM",32
402,"dfs_day_(3, 1)_BBRSI-UC_AMBUJACEM",50
403,"dfs_day_(3, 1)_MA_AMBUJACEM",25
